quests_title,quests_description,quests_objective
Trophy Hunter,"Var’soonta has asked you to convince a man called “the Black Death” to stop hunting and killing Evocii.
He suggests you look near the Black Death’s speeder south of the Voam Evocii village. He has hunting droids protecting the speeder at all times, so be careful. Find the Black Death’s speeder.",Return to Var’soonta
[HEROIC 2+] Cutting Off the Head,"Ord Mantell authorities report that an unusually hostile tribe of Mantellian savrips have been attacking Republic patrols on the island near Oradam village. The Republic is offering a bounty for the tribe’s chieftains in an effort to reduce their aggressive behavior.
Kill the savrip chieftains on Savrip Island.",Kill Savrip Chieftains
[HEROIC 2+] Destroy the Beacons,"Sergeant Travi Pott has asked you to destroy the separatist jamming beacons on Savrip Island that have downed countless Republic supply ships. She promises credits and additional supplies if you can come through.
Locate and destroy all of the separatist jamming beacons on Savrip Island.",Destroy the Southeast Beacon
[HEROIC 2+] Hostage Situation,"Evocii raiders have overrun the Old Muckworks and taken hostages. Foreman Rhamm has asked you to take back the factory and free the hostages so he might avoid Nem’ro’s wrath.
Find the security terminal on the second floor of the Old Muckworks to unlock the basement elevator.",Find the Factory Security Terminal
[HEROIC 2+] The Man with the Steel Voice,"Geric, a sickly old man with an artificial lung, has asked you to release his cleaning solution into the polluted waters at the Old Muckworks. He is sure it will cleanse the water and prevent others from getting sick.
Find the filter station outside the Old Muckworks.",Destroy the Southeast Filter Control Valve
A New Master,"Upsetting Overseer Tremel’s plans for you, Darth Baras has summoned you to his chambers on the second floor of the Sith Academy.",Return to Darth Baras
Alliance Of Evil,"SIS Agent Burne received a tip that the separatists are meeting with the leaders of violent splinter groups from across the Republic. Burne tasked you with hunting down the splinter groups’ leaders and wiping them out.
According to his intel, there’s a computer inside the separatist stronghold with information on the leaders’ locations. Access the separatist database in the separatist stronghold to retrieve the locations of the splinter group leaders.",Access the Computer Terminal
Clear the Beach,Scavengers along the beach are attacking anyone who comes near their salvage. Take out the scavenger lookouts along the beachhead near Oradam village.,Defeat Scavenger Lookouts
Clearing the Path,"On your way along the path to the Old Muckworks rooftop, take out the reprogrammed turrets set up by the renegade Evocii.",Destroy Reprogrammed Turrets
Combat Leadership: Mark IV,"Liam Dentiri instructs the many Padawans on Tython in physical combat. He has preprogrammed several combat scenarios to test your skills and abilities in battle and has offered you a chance to prove yourself.
You have successfully completed three scenarios, and Liam has offered you a fourth. Find one of the training consoles around the Jedi Temple courtyard, activate it, and complete the training scenario.",Activate and Destroy Mark IV Training Droids
Egg Smashing,"Horranths–creatures twisted by the dark side of the Force–have taken over the crystal cave near the Forge. Their influence is tainting the crystals, and removing them would go a long way towards sanctifying the ancient Forge.
While you hunt for horranth matriarchs and patriarchs, destroy any horranth eggs you find.",Smash Horranth Eggs
Flesh Raider Fact-finding,"Flesh Raider attacks against the Padawans and Twi’lek Pilgrims of Tython are a growing concern to the Jedi Order. Masters Gehnso and Wix believe the Flesh Raiders’ strange idols may shed light on the creatures’ aggressive behavior.
You must inspect the Flesh Raider idols and record your findings, but doing so won’t be easy. The idols can only be found deep in Flesh Raider territory.",Examine the Bone Idol
Generator Problems,"A droid named S3-E3 and his master, Engineer Celestra, were with a group of engineers sent to repair one of Fort Garnik’s power generators. However, a squad of separatists ambushed the team, and S3-E3 got separated from Engineer Celestra, who remains trapped near the power generator.
S3-E3 has asked you to rescue her. Locate Engineer Celestra near the power generator at the top of the lava cleft.",Find Engineer Celestra
High Heresies,"The Flesh Raider high shaman are the religious heads of the Flesh Raider clans. They employ the dark side to lead the Flesh Raiders in their attack on the Jedi of Tython.
Removing several of these shaman from power would cause enough confusion in the Flesh Raider ranks to halt their attacks. Eliminate the Flesh Raider high shaman around the Forge ruins.",Defeat Flesh Raider High Shaman
Hitting Where it Hurts,"Viidu has learned that Skavak plans to sell your blaster shipment to a separatist leader named Dareg in a hidden volcano base.
You need to get there before the trade so you can recover your ship and cargo. Go to the rendezvous point inside the volcano base to stop Skavak from selling your cargo.",Go to Skavak’s Rendezvous Point
Hunting High and Low,The Flesh Raider high shaman are the religious heads of the Flesh Raider clans. They employ the dark side to lead the Flesh Raiders in their attack on the Jedi of Tython. Removing several of these high shaman from power would cause enough confusion in the Flesh Raider ranks to halt their attacks. Find them in the ruined acropolis.,Defeat Flesh Raider High Shaman
Hunting Party,Make sure the Black Death faces you on equal terms by demolishing the hunting droids protecting his speeder.,Destroy Hunting Droids
Lost Supplies,"You found a holomessage from Sentry Tavon explaining that many sentries lost their minds while on a mission to recover research supplies. He reports that his berserk compatriots now guard the code cylinders required to unlock the secured equipment.
Find and recover the code cylinders from the Sentry Camps in the lower wilds to unlock the secured crate housing the research supplies.",Recover the South Code Cylinder
New Recruit,"Trea Kobbeth, a Twi’lek Pilgrim in Kalikori village, has begged you to help rescue her son, Viyo, who was kidnapped by a Flesh Raider.
He was last seen on Tythos Ridge, and may have left his satchel behind as a signal to any rescuers. Travel to Tythos Ridge and look for Viyo Kobbeth or his satchel.",Return to Trea Kobbeth
Pilgrim Medicine,"You found a datapad on the body of a Kalikori hunter with a last message to his wife Bahlea. The hunter was trying to collect manka cat teeth for medicine that might cure his sick daughter Rusa, but he was killed by the manka cats before he could recover any of their teeth. Unless Rusa gets the manka tooth medicine, she won’t get well.
Collect manka cat teeth from manka cats and savage manka cats in the Hollows and return them to Bahlea in Kalikori village.",Collect Manka Cat Teeth
Protection,"Donal’s brother and his family were killed by Fa’athra’s men when they couldn’t afford to pay protection money. The goons have now set up their base of operations at Donal’s brother’s farm. Donal informs you that there’s a stash of valuables at the farm and only he knows how to open it. He’ll open the lockbox for you if you help him get back at the goons responsible for his brother’s death.
Defeat Fa’athra’s goons and retrieve the lockbox from the hidden stash behind a vent high on a wall at the abandoned farm.",Defeat Fa’athra’s Goons
Punish the Saboteurs,"Even if the generator is restored, the separatist forces in this area could overwhelm the Republic. Defeat the separatist saboteurs around the generator to ensure their safety.",Dispatch the Separatist Saboteurs
Purity,"Lord Abaron is concerned by the growing lack of pure Sith blood among the overseers on Korriban. He gave you a scanning device to determine the purity levels of several overseers.
Use the scanner to analyze four Sith overseers: Lord Cestus, Lord Solence, Overseer Ragate, and Inquisitor Arzanon on Korriban. You will find them in and around the Sith Academy.",Scan Lord Cestus
Remnants Incursion,Defeat the Flesh Raiders and their reprogrammed droids within the Forge remnants ruins.,Defeat Flesh Raider Forces
Remnants Invasion,Defeat the Flesh Raiders and their reprogrammed droids within the Forge remnants ruins.,Defeat Flesh Raider Forces
Ritual Cleansing,Shyracks fill the ritual chambers for the rite of blood and bone in the Sith Academy. Put an end to this infestation.,Kill Shyrack Maulers
River Monsters,Chemilizards prowl the area around the downed starship. Nem’ro’s buyer might be grateful if you could clear the way for a salvage operation by defeating the beasts.,Defeat the Chemilizards
